"N","lambda_bar","cv","D","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
60,1,0.9,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.204128440366972,0.0136494455057722,0.178,0.00558659217877095,2.26400768255583,0.0025932753581253,0.025932753581253,0.0985849359359832,0.0985625133624199,0.94151376146789,0.376647122565863,0.872,872,1000,5.23906666666667,5.15372376871151,0.83095,20260709,1000
90,1,0.9,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.294240837696335,0.0147461297479205,0.281,0,1.9086206881622,0.0038692921688315,0.038692921688315,0.0781124273473773,0.0781673440064826,0.950785340314136,0.299975153698858,0.955,955,1000,5.28181111111111,5.24296054473288,0.829444444444444,20260709,1000
120,1,0.9,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.377572016460905,0.0155493171633169,0.367,0.00271739130434783,1.69495368145291,0.00329404897415053,0.0329404897415053,0.0693067696225738,0.0693493855450941,0.944444444444444,0.258310548129748,0.972,972,1000,5.22485,5.18929955414018,0.831233333333333,20260709,1000
150,1,0.9,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.383603238866397,0.015470089790794,0.379,0,1.55867985478541,-0.000148830800813959,-0.00148830800813959,0.0587676544226177,0.0587380947318394,0.952429149797571,0.231815374035835,0.988,988,1000,5.26778,5.24737163019202,0.830246666666667,20260709,1000
20,2,0.9,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.137973137973138,0.0120507955837548,0.113,0.0173913043478261,2.99689535947921,0.00811902783320616,0.0811902783320616,0.139868391147767,0.140018565928309,0.938949938949939,0.525256910167782,0.819,819,1000,10.5289,9.7038184793619,0.58185,20260709,1000
40,2,0.9,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.221063607924922,0.0133998618413861,0.212,0.00469483568075117,2.10709564062302,-0.00125557442624842,-0.0125557442624842,0.0880062844303121,0.0879693488368206,0.932221063607925,0.343801122213773,0.959,959,1000,10.464875,9.78536697967691,0.580875,20260709,1000
60,2,0.9,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.353474320241692,0.015170405850439,0.351,0,1.81367504765693,0.00385589498679033,0.0385589498679033,0.07473051230441,0.0747923350206175,0.926485397784491,0.275382888750192,0.993,993,1000,10.4850666666667,9.89412794871466,0.581366666666667,20260709,1000
90,2,0.9,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.439439439439439,0.0157028340595605,0.439,0,1.48970482958616,0.00195623929360689,0.0195623929360689,0.0553259399947473,0.0553328336958832,0.945945945945946,0.221410032869759,0.999,999,1000,10.5629,10.0015780920331,0.580233333333333,20260709,1000
120,2,0.9,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.538,0.0157656588825206,0.538,0,1.3619382051563,0.000556936034254676,0.00556936034254676,0.0500740117992516,0.0500520671776918,0.944,0.190689242939801,1,1000,1000,10.4923083333333,9.90254294346671,0.580891666666667,20260709,1000
150,2,0.9,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.624,0.015317441039547,0.624,0,1.25282665217921,-0.000445222511069335,-0.00445222511069335,0.0427952582050599,0.0427761722667804,0.946,0.17080148672495,1,1000,1000,10.46628,9.94886993320265,0.582926666666667,20260709,1000
20,4,0.9,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.202928870292887,0.0130074304438506,0.194,0.0348258706467662,2.419405316096,0.00241737422543356,0.0241737422543356,0.114237064607175,0.11420288914359,0.922594142259414,0.412387473686764,0.956,956,1000,21.0585,18.7374456688304,0.3339,20260709,1000
40,4,0.9,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.308926780341023,0.0146332985004805,0.308,0.00645161290322581,1.78688784756436,-0.00221105905253624,-0.0221105905253624,0.0759590516420996,0.075953137983613,0.933801404212638,0.277723472798281,0.997,997,1000,20.870125,18.8902488376904,0.333625,20260709,1000
60,4,0.9,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.438,0.0156893594515519,0.438,0,1.50689332087306,-0.000306201707685194,-0.00306201707685194,0.058978225475811,0.0589495242447394,0.942,0.222513981241848,1,1000,1000,20.9441833333333,19.1600778843564,0.331783333333333,20260709,1000
