"N","lambda_bar","D","cv","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
150,5,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",1,0,1,0,0.995367933223429,-0.000926413355314265,-0.00463206677657133,0.0290284714164535,0.0290287399369656,0.952,0.117235955759081,1,1000,1000,26.2440333333333,2.55909852500232,0,20260709,1000
20,8,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.760760760760761,0.0134976298533901,0.76,0,1.14802029372098,0.00161771651631615,0.00808858258158074,0.0740741990234258,0.0740547870717948,0.93993993993994,0.291640194323543,0.999,999,1000,41.9706,3.20187244849783,0,20260709,1000
40,8,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.961,0.00612200947402077,0.961,0,1.02417329771607,0.000320712791167355,0.00160356395583677,0.0539335804340383,0.0539075609171001,0.945,0.210912290342982,1,1000,1000,41.9969,3.22114518600264,0,20260709,1000
60,8,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.996,0.00199599599197994,0.996,0,1.01026863668079,0.00150167773884624,0.0075083886942312,0.0449233482522493,0.0449259852090749,0.949,0.171932239192057,1,1000,1000,41.9938666666667,3.21817247681428,0,20260709,1000
90,8,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",1,0,1,0,1.00715125103055,0.0014302502061109,0.0071512510305545,0.0373723575252518,0.0373810383689422,0.936,0.140464328242479,1,1000,1000,41.9985444444444,3.24015391396127,0,20260709,1000
120,8,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",1,0,1,0,1.00290782011394,0.000581564022788306,0.00290782011394153,0.0322220645493856,0.0322111999014868,0.943,0.121774193377813,1,1000,1000,42.0071333333333,3.23328678093635,0,20260709,1000
150,8,7,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",1,0,1,0,1.00045679676985,9.13593539693114e-05,0.000456796769846557,0.028289196175592,0.0282751956345562,0.942,0.108765749224911,1,1000,1000,42.0208733333333,3.2368660151797,0,20260709,1000
20,1,14,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.473684210526316,0.0168893111779168,0.414,0,1.41495646604908,0.000587160198515846,0.00293580099257923,0.103057175616427,0.102999875142073,0.94279176201373,0.420382634530785,0.874,874,1000,10.50055,1.60848629688127,0.257,20260709,1000
40,1,14,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.788381742738589,0.0131554688017269,0.76,0,1.1532930494768,0.00478221403053708,0.0239110701526854,0.0730554316579573,0.0731739657188748,0.946058091286307,0.291693341765453,0.964,964,1000,10.51485,1.60128887170443,0.25295,20260709,1000
60,1,14,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.914572864321608,0.00886126119227768,0.91,0,1.04710581475331,-0.000835609245826235,-0.00417804622913118,0.0613536706237858,0.0613285247905123,0.950753768844221,0.237830144730005,0.995,995,1000,10.4965666666667,1.61471860917071,0.2579,20260709,1000
90,1,14,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.98,0.00442718872423573,0.98,0,1.01465377235128,0.000599257088135546,0.00299628544067773,0.0481574769860171,0.0481371224329704,0.947,0.193530955021286,1,1000,1000,10.5086777777778,1.61519359101001,0.256533333333333,20260709,1000
120,1,14,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.996,0.00199599599197994,0.996,0,0.999249632133014,-0.000663240934388382,-0.00331620467194191,0.0430909226115054,0.0430744782027163,0.949,0.167645016345037,1,1000,1000,10.4990416666667,1.61170622502869,0.258441666666667,20260709,1000
150,1,14,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",1,0,1,0,0.998680771727471,-0.000263845654505795,-0.00131922827252898,0.0377498569788224,0.0377318998295743,0.957,0.15009672333259,1,1000,1000,10.50114,1.61581402585468,0.258706666666667,20260709,1000
20,2,14,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.65080971659919,0.0151662991176618,0.643,0,1.23770320201629,0.0019721099697472,0.009860549848736,0.0834442881838087,0.0834253614242768,0.94331983805668,0.334958600450862,0.988,988,1000,21.0042,2.23929196790979,0,20260709,1000
