"N","lambda_bar","cv","D","cap","compliance","decay","phi","beta1","trigger_link","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,1,0.3,14,Inf,0.75,0,0.3,0.2,0,"primary",0.468713789107764,0.0120115137166777,0.4045,0.00123456790123457,1.47255043090606,0.00649522791065607,0.0324761395532804,0.108635996577496,0.108798575773767,0.937427578215527,0.428565949410647,0.863,1726,2000,10.5246,4.4270063602817,0.450525,20260709,2000
40,1,0.3,14,Inf,0.75,0,0.3,0.2,0,"primary",0.742118863049096,0.00994502865317969,0.718,0,1.16675858756578,0.000957778670199944,0.00478889335099972,0.0784060579409585,0.0783916465837431,0.936950904392765,0.29861640337054,0.9675,1935,2000,10.511,4.49473505124542,0.4525,20260709,2000
60,1,0.3,14,Inf,0.75,0,0.3,0.2,0,"primary",0.885311871227364,0.00714659526550702,0.88,0,1.06434657043853,-0.000669465314632883,-0.00334732657316442,0.0635228489864763,0.0635103989317205,0.937625754527163,0.242165514893903,0.994,1988,2000,10.4903833333333,4.48141536431701,0.451666666666667,20260709,2000
90,1,0.3,14,Inf,0.75,0,0.3,0.2,0,"primary",0.973986993496748,0.00356012671812132,0.9735,0,1.01181867914212,-0.000699579849231913,-0.00349789924615956,0.051405874812326,0.0513977765494958,0.941970985492746,0.198998970971259,0.9995,1999,2000,10.5062611111111,4.49870424354893,0.452688888888889,20260709,2000
120,1,0.3,14,Inf,0.75,0,0.3,0.2,0,"primary",0.996498249124562,0.00132121804282275,0.996,0,1.00806586236756,0.00118140666954705,0.00590703334773526,0.0441012232962313,0.0441060162848797,0.951475737868934,0.172500683416071,0.9995,1999,2000,10.5055958333333,4.51769224844985,0.452020833333333,20260709,2000
150,1,0.3,14,Inf,0.75,0,0.3,0.2,0,"primary",0.9985,0.000865375640979091,0.9985,0,1.00702575186718,0.00119831994486272,0.0059915997243136,0.039506723092251,0.039515019291319,0.947,0.15426386621285,1,2000,2000,10.51017,4.51550946226313,0.452296666666667,20260709,2000
20,2,0.3,14,Inf,0.75,0,0.3,0.2,0,"primary",0.630910015251652,0.0108804701347989,0.6205,0,1.24441374390956,-0.000315046229933308,-0.00157523114966654,0.0876251376857262,0.0876034275505695,0.938485002541942,0.340721655535515,0.9835,1967,2000,21.009525,7.66324190878753,0.046725,20260709,2000
40,2,0.3,14,Inf,0.75,0,0.3,0.2,0,"primary",0.910320641282565,0.0063953331610804,0.9085,0,1.0739590088289,0.00428649695014408,0.0214324847507204,0.0609220335758683,0.0610574218674787,0.945891783567134,0.23921401021525,0.998,1996,2000,20.9929875,7.68924571828335,0.045575,20260709,2000
60,2,0.3,14,Inf,0.75,0,0.3,0.2,0,"primary",0.975,0.00349106001094224,0.975,0,1.01547467048223,-2.18923488466416e-05,-0.000109461744233208,0.0513689145380031,0.0513560753698839,0.9405,0.19569490421498,1,2000,2000,20.995325,7.72775128679889,0.045775,20260709,2000
90,2,0.3,14,Inf,0.75,0,0.3,0.2,0,"primary",0.9975,0.00111663557170635,0.9975,0,0.995100672323458,-0.00127402472270019,-0.00637012361350095,0.0411714429238717,0.0411808609377155,0.9435,0.160594790680493,1,2000,2000,21.0142944444444,7.76906160713453,0.0463611111111111,20260709,2000
120,2,0.3,14,Inf,0.75,0,0.3,0.2,0,"primary",0.9995,0.000499874984371065,0.9995,0,0.999159424427437,-0.000243757244194759,-0.00121878622097379,0.0360145719354686,0.0360063922740573,0.944,0.139520962498252,1,2000,2000,20.9910041666667,7.7743513125416,0.0469333333333333,20260709,2000
150,2,0.3,14,Inf,0.75,0,0.3,0.2,0,"primary",1,0,1,0,0.994619152162914,-0.00107616956741716,-0.00538084783708578,0.0324708131852541,0.0324805275972397,0.9405,0.124989251861088,1,2000,2000,21.0146266666667,7.77479402238813,0.04552,20260709,2000
20,4,0.3,14,Inf,0.75,0,0.3,0.2,0,"primary",0.714929859719439,0.0101047905115869,0.7135,0,1.17064127999083,-0.00194655632054017,-0.00973278160270083,0.078836611474252,0.0788408939379191,0.924849699398798,0.29900526201291,0.998,1996,2000,42.087,13.8977200565291,0.000775000000000002,20260709,2000
