"N","lambda_bar","cv","D","beta1","cap","compliance","decay","phi","trigger_link","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
60,1,0.3,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.418931583880037,0.0151043825733469,0.2235,0.00223214285714286,1.57350357035959,0.00399357922278912,0.0266238614852608,0.0914679278758046,0.0915122367350907,0.941893158388004,0.349130592820228,0.5335,1067,2000,5.25316666666667,2.76814303022107,0.924091666666667,20260722,2000
90,1,0.3,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.590737240075614,0.0151166464304699,0.3125,0,1.37346497060737,0.00748638326166265,0.0499092217444177,0.0748966983316972,0.0752346951603913,0.948015122873346,0.285145647768618,0.529,1058,2000,5.25426666666667,2.76715881027769,0.924216666666667,20260722,2000
20,2,0.3,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.296535525543159,0.0110675661433331,0.2525,0.00197628458498024,1.81987956705958,0.00198798609062639,0.013253240604176,0.110799264479139,0.110784567346038,0.942454492072813,0.433585728094769,0.8515,1703,2000,10.509525,4.45965072570337,0.45295,20260722,2000
40,2,0.3,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.52760736196319,0.0112881444577619,0.516,0,1.38354857587517,0.00100780440229731,0.00671869601531538,0.076683645184794,0.0766706643936371,0.942740286298569,0.297920127297313,0.978,1956,2000,10.5037875,4.48697385028783,0.45265,20260722,2000
60,2,0.3,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.67219708396179,0.0105253689145253,0.6685,0,1.21626771823114,-0.000415763707477534,-0.00277175804985023,0.0625752263028407,0.0625608755471403,0.941679235796883,0.243629417490139,0.9945,1989,2000,10.5084166666667,4.51205298673059,0.452733333333333,20260722,2000
90,2,0.3,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.836836836836837,0.00826672918912695,0.836,0,1.11632945221988,0.00212233114406904,0.0141488742937936,0.0528092744306783,0.0528386974654117,0.942442442442442,0.198710874166885,0.999,1998,2000,10.4899944444444,4.49586241280624,0.45315,20260722,2000
20,1,0.6,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.178331735378715,0.0118527853742092,0.093,0.0210526315789474,2.51222030311626,0.0101573752689298,0.067715835126199,0.160236206494563,0.160481142312178,0.952061361457335,0.652168739232719,0.5215,1043,2000,5.2379,3.80402383880865,0.86665,20260722,2000
40,1,0.6,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.296466973886329,0.0126568290062056,0.193,0,1.84215062461049,0.00256275674361031,0.0170850449574021,0.111325032667919,0.111311778287572,0.948540706605223,0.43788865327163,0.651,1302,2000,5.2554875,3.84309956556316,0.8663875,20260722,2000
60,1,0.6,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.420566908371786,0.0126743707145098,0.319,0,1.60262942224585,0.00695475565729453,0.0463650377152969,0.0937061189759353,0.0939330456721973,0.930784442979565,0.354320067194509,0.7585,1517,2000,5.24863333333333,3.85979729319592,0.867325,20260722,2000
90,1,0.6,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.57518337408313,0.0122211553587063,0.4705,0,1.38124234198822,0.00687193064280658,0.0458128709520439,0.0761640504887935,0.0764502465461487,0.937041564792176,0.286848626663775,0.818,1636,2000,5.24992222222222,3.87237903360148,0.866805555555556,20260722,2000
20,2,0.6,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.272832369942197,0.0107088334736529,0.236,0,1.87607593768055,-0.000218987929983566,-0.00145991953322377,0.114420756172448,0.114387891428545,0.938728323699422,0.448663621494862,0.865,1730,2000,10.44375,6.88160377301759,0.528625,20260722,2000
