"N","lambda_bar","cv","D","cap","compliance","decay","phi","beta1","trigger_link","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
90,2,0.9,28,5,0.75,0,0.3,0.2,0,"S1_cap",0.999,0.000999499874937461,0.999,0,0.999366508840983,-0.00027990837513564,-0.0013995418756782,0.0386949726482721,0.0386766332045687,0.951,0.154995789320615,1,1000,1000,37.5771,27.816195743858,0.165388888888889,20260709,1000
150,2,0.9,28,5,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,1.0073251931822,0.00146503863643971,0.00732519318219854,0.03088584686932,0.030905144223972,0.945,0.120021068582411,1,1000,1000,37.49002,27.7559739484043,0.165513333333333,20260709,1000
40,4,0.9,28,5,0.75,0,0.3,0.2,0,"S1_cap",0.953,0.00669260786241059,0.953,0,1.02552664972767,-0.000374519356318936,-0.00187259678159468,0.0569774864864358,0.0569502220987234,0.924,0.214901429462003,1,1000,1000,58.67535,33.5321303641933,0.079925,20260709,1000
90,4,0.9,28,5,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,1.00572375664114,0.00114475132822742,0.00572375664113708,0.0363174313675343,0.0363173143406545,0.948,0.142613870302765,1,1000,1000,58.8353222222222,33.5614541422941,0.0784666666666667,20260709,1000
150,4,0.9,28,5,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,0.997187453478703,-0.000562509304259329,-0.00281254652129664,0.0286223820485897,0.0286135969444366,0.94,0.110777782447746,1,1000,1000,58.84486,33.6349622942959,0.0788933333333333,20260709,1000
40,1,0.3,14,3,0.75,0,0.3,0.2,0,"S1_cap",0.738860103626943,0.0141401515882314,0.713,0,1.15802470588759,-0.000789181322562726,-0.00394590661281363,0.075295621254524,0.0752607356439508,0.939896373056995,0.2989603308562,0.965,965,1000,10.16525,4.10917949739192,0.466425,20260709,1000
90,1,0.3,14,3,0.75,0,0.3,0.2,0,"S1_cap",0.971,0.00530650544143696,0.971,0,1.0184003067831,0.00038063095718624,0.0019031547859312,0.0507697595170116,0.0507457958146224,0.956,0.201250081807117,1,1000,1000,10.1635555555556,4.11026199258853,0.4684,20260709,1000
150,1,0.3,14,3,0.75,0,0.3,0.2,0,"S1_cap",0.999,0.000999499874937461,0.999,0,1.00032594413656,-6.71887391994475e-05,-0.000335943695997237,0.0408769053825163,0.0408565170637955,0.936,0.155371961071363,1,1000,1000,10.1689,4.1383207749748,0.46824,20260709,1000
40,2,0.3,14,3,0.75,0,0.3,0.2,0,"S1_cap",0.893,0.00977501918156686,0.893,0,1.05920405921149,-0.000419552933718315,-0.00209776466859157,0.0604402028754374,0.060411432114829,0.951,0.248329672594582,1,1000,1000,18.187075,5.35478164817009,0.053525,20260709,1000
90,2,0.3,14,3,0.75,0,0.3,0.2,0,"S1_cap",0.998,0.00141279864099595,0.998,0,1.00805377861439,0.00135032035424107,0.00675160177120535,0.04310875765546,0.0431083517043932,0.943,0.164741542160882,1,1000,1000,18.2731777777778,5.35324865205627,0.0504,20260709,1000
150,2,0.3,14,3,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,1.00658272937113,0.00131654587422592,0.00658272937112958,0.0327176570180438,0.0327277852704478,0.945,0.128440786699553,1,1000,1000,18.2124866666667,5.3702531594079,0.05276,20260709,1000
40,4,0.3,14,3,0.75,0,0.3,0.2,0,"S1_cap",0.928,0.00817410545564467,0.928,0,1.04162183705359,-0.000176796657288925,-0.000883983286444623,0.0600522470783433,0.0600224738230379,0.925,0.225301417461026,1,1000,1000,26.866325,4.58950405081057,0.000849999999999999,20260709,1000
90,4,0.3,14,3,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,0.992439637526318,-0.00151207249473645,-0.00756036247368225,0.0375889899732091,0.0376006063550596,0.947,0.150419399487202,1,1000,1000,26.8385222222222,4.63524335938038,0.00104444444444444,20260709,1000
150,4,0.3,14,3,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,1.00270465196138,0.00054093039227629,0.00270465196138145,0.0306958999508629,0.0306853163778521,0.942,0.116869045106106,1,1000,1000,26.81906,4.63693977296539,0.000979999999999999,20260709,1000
40,1,0.9,14,3,0.75,0,0.3,0.2,0,"S1_cap",0.665959703075292,0.0153591633629615,0.628,0,1.23128335337077,0.00187643618825453,0.00938218094127266,0.0856900483033542,0.0856651549299811,0.940615058324496,0.331628237959171,0.943,943,1000,9.371725,7.50277510938126,0.590975,20260709,1000
90,1,0.9,14,3,0.75,0,0.3,0.2,0,"S1_cap",0.935935935935936,0.00774724981133943,0.935,0,1.03816037071221,-0.000224420716452373,-0.00112210358226186,0.0575684934687525,0.0575401108447892,0.944944944944945,0.220984188496522,0.999,999,1000,9.41344444444444,7.52549016071295,0.585588888888889,20260709,1000
